User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1003799,P0028642,M,26-35,18,B,0,0,9,4.0,7.0,15795
1001276,P0093042,M,26-35,13,B,2,0,17,17.0,,12435
1001017,P0046642,M,26-35,16,C,3,0,4,,6.0,17073
1000338,P0018842,M,0-17,18,C,0,0,2,7.0,18.0,8779
1000879,P0028642,M,26-35,12,B,4+,0,2,3.0,,13459
1001077,P0091842,M,26-35,2,A,4+,1,5,8.0,10.0,15370
1004888,P0023142,M,51-55,1,B,4+,1,2,10.0,15.0,13792
1003994,P0097142,M,51-55,8,C,0,1,13,,,6771
1004860,P0073442,F,36-45,6,C,4+,1,5,10.0,3.0,18039
1000380,P0065942,M,55+,13,B,2,1,1,3.0,9.0,2533
1000493,P0089942,M,26-35,4,B,0,1,15,4.0,12.0,9785
1002063,P0047542,M,26-35,19,C,2,1,14,9.0,,18792
1003885,P0079042,M,36-45,14,C,1,1,12,5.0,14.0,3365
1000065,P0079142,M,55+,19,A,0,0,2,3.0,15.0,10580
1002569,P0019842,M,26-35,0,B,4+,1,1,5.0,,19722
1002028,P0094142,F,26-35,19,B,4+,1,3,4.0,14.0,2191
1002696,P0013342,M,46-50,6,A,1,1,11,6.0,13.0,13276
1001496,P0068142,M,0-17,4,C,3,1,17,,,1697
1000392,P0027042,M,36-45,3,C,1,0,5,10.0,,6318
1004515,P0046542,M,46-50,10,A,4+,1,17,15.0,,893
1004475,P0088342,M,51-55,18,B,4+,0,18,5.0,15.0,3222
1003562,P0015842,M,55+,5,C,3,1,3,18.0,11.0,16066
1002279,P0028042,M,18-25,19,A,1,1,15,7.0,17.0,10735
1003100,P0011842,M,18-25,17,A,2,0,16,,14.0,13145
1000201,P0032542,M,51-55,4,A,1,0,15,18.0,14.0,8210
1004876,P0057242,F,0-17,19,C,2,0,17,,8.0,14740
1003105,P0019442,F,55+,14,C,4+,1,18,15.0,,19886
1004599,P0098042,M,55+,20,A,4+,0,8,15.0,,14137
1002455,P0039642,M,18-25,19,A,1,0,14,18.0,10.0,10815
1003646,P0069242,M,0-17,5,C,4+,0,4,16.0,10.0,952
1000805,P0027442,M,18-25,3,C,3,0,10,14.0,9.0,7193
1002732,P0032142,M,18-25,16,C,0,0,7,9.0,7.0,15277
1002774,P0071442,M,55+,14,C,2,0,1,6.0,,4732
1001571,P0015342,M,46-50,17,C,4+,0,7,17.0,9.0,17030
1002691,P0079442,M,55+,5,A,2,1,12,9.0,,2593
1003841,P0096242,M,18-25,19,C,1,0,4,3.0,5.0,512
1001029,P0050242,M,55+,18,C,3,1,7,11.0,,2861
1000503,P0041742,M,51-55,11,A,2,0,15,15.0,6.0,12164
1004494,P0096642,M,0-17,8,A,4+,1,2,2.0,6.0,15594
1000871,P0044842,M,26-35,7,B,0,0,2,16.0,,7860
1004489,P0054242,M,55+,14,C,3,0,5,6.0,10.0,3629
1000207,P0093242,M,55+,0,B,1,1,3,6.0,7.0,13604
1001485,P0067942,M,26-35,1,B,4+,1,16,13.0,16.0,6605
1000864,P0063942,M,26-35,2,A,3,1,4,8.0,4.0,4650
1002791,P0088542,M,0-17,18,A,4+,0,15,11.0,,10092
1000564,P0038142,M,0-17,9,B,1,1,17,12.0,,7811
1004192,P0045942,M,26-35,13,B,1,0,11,,9.0,18815
1001758,P0092242,F,51-55,18,B,0,0,4,6.0,,14655
1001679,P0073042,M,18-25,10,B,3,0,4,11.0,4.0,19617
1003243,P0099142,M,26-35,20,C,0,0,4,17.0,14.0,3173
1004637,P0074542,F,36-45,5,B,0,0,2,6.0,,13023
1001060,P0074042,M,55+,18,A,0,0,16,3.0,16.0,12263
1001723,P0010742,M,0-17,13,B,2,0,13,2.0,13.0,14688
1003315,P0066242,M,36-45,7,B,1,1,8,4.0,3.0,15028
1003158,P0059042,M,36-45,1,A,0,0,2,7.0,9.0,18857
1002626,P0044042,M,0-17,17,B,2,0,17,10.0,13.0,19695
1002730,P0057142,M,55+,3,A,2,0,12,13.0,12.0,14050
1001598,P0089242,F,26-35,2,C,2,1,14,6.0,13.0,9206
1003061,P0078642,M,51-55,1,C,0,1,12,7.0,3.0,3038
1002694,P0079442,M,46-50,3,A,2,1,13,15.0,16.0,11584
1004892,P0080342,M,36-45,17,C,0,0,10,,9.0,255
1003628,P0034842,M,26-35,10,C,3,0,4,4.0,13.0,7912
1001364,P0033442,M,46-50,8,C,1,1,7,11.0,,12418
1001982,P0018242,M,55+,7,A,4+,0,2,7.0,,15100
1001664,P0019242,M,36-45,20,B,0,1,15,12.0,12.0,15434
1001530,P0098442,M,26-35,7,C,1,1,4,4.0,4.0,13308
1002039,P0049342,F,36-45,4,B,0,0,9,7.0,,9592
1003303,P0092342,M,26-35,12,B,3,1,6,16.0,12.0,1179
1002238,P0036742,M,55+,6,C,1,0,17,18.0,14.0,5993
1001307,P0051642,M,51-55,20,C,1,1,7,14.0,5.0,14153
1004030,P0073142,F,55+,4,B,2,0,16,,,11999
1002676,P0068242,F,18-25,12,C,0,1,17,15.0,,18438
1001283,P0062842,M,18-25,19,A,0,1,8,16.0,13.0,8286
1000710,P0035242,F,55+,15,A,4+,0,3,9.0,,19944
1004745,P0022142,M,0-17,13,C,2,1,6,5.0,4.0,19125
1004414,P0099142,M,46-50,4,B,2,1,18,15.0,10.0,3000
1003749,P0010942,M,55+,18,C,4+,1,11,,8.0,13234
1004780,P0089842,M,55+,3,A,2,0,6,,,5472
1000664,P0041542,F,36-45,10,B,2,1,13,11.0,8.0,18730
1001999,P0093742,M,36-45,1,C,3,0,9,12.0,,6719
1003446,P0037242,M,26-35,12,A,1,1,8,8.0,,10986
1003744,P0040542,F,46-50,15,B,4+,1,13,15.0,,1525
1001496,P0090442,M,36-45,8,A,3,1,14,17.0,3.0,7991
1003305,P0030942,M,46-50,15,C,3,0,1,2.0,,6341
1003764,P0082942,M,55+,6,C,3,1,5,18.0,,2378
1001854,P0085242,M,46-50,15,A,2,0,6,12.0,,16712
1004660,P0098542,M,18-25,12,A,4+,1,9,13.0,,10419
1001292,P0056342,F,36-45,4,A,2,0,13,6.0,16.0,4700
1003582,P0081142,M,36-45,14,A,2,1,1,2.0,,15738
1003458,P0082742,M,0-17,6,A,3,1,6,,12.0,4037
1001637,P0081642,M,46-50,17,B,0,1,7,,14.0,6421
1003697,P0051542,M,26-35,19,C,4+,1,10,17.0,,1925
1003000,P0031542,M,18-25,1,B,4+,0,4,11.0,,12491
1003153,P0017942,F,55+,7,A,3,1,18,8.0,17.0,18966
1000699,P0087842,F,0-17,9,B,3,0,16,5.0,4.0,19371
1002161,P0057942,M,18-25,9,C,1,0,11,3.0,10.0,9622
1004098,P0099042,M,26-35,10,A,3,0,17,11.0,18.0,14392
1004738,P0064642,M,0-17,20,A,2,1,2,17.0,14.0,15908
1000855,P0090042,M,18-25,20,C,3,0,7,16.0,11.0,11988
1003475,P0011742,M,26-35,7,B,4+,0,9,17.0,,2829
1001708,P0026442,M,51-55,15,C,0,0,14,4.0,12.0,15071
1002778,P0062442,M,0-17,15,C,0,0,17,,,8094
1001734,P0030142,F,26-35,16,B,2,0,15,18.0,16.0,2708
1004932,P0084042,M,0-17,5,B,0,1,7,3.0,15.0,18834
1003511,P0044542,M,36-45,17,A,3,1,7,9.0,11.0,4092
1000203,P0046542,F,36-45,16,A,0,1,14,9.0,6.0,11944
1003256,P0054742,M,18-25,11,A,3,1,9,16.0,3.0,12686
1004219,P0061242,M,46-50,14,C,1,1,9,,,18385
1004497,P0041842,M,51-55,6,B,4+,0,17,9.0,4.0,10046
1000767,P0031642,M,55+,13,B,2,1,2,4.0,11.0,1077
1004390,P0013342,F,46-50,3,A,1,1,12,3.0,,18741
1002328,P0097042,M,55+,16,C,0,0,16,14.0,14.0,14108
1002932,P0036542,M,55+,10,C,2,1,2,11.0,,11609
1000198,P0073942,M,55+,5,B,3,1,15,,4.0,4456
1001931,P0082342,F,26-35,9,B,1,0,6,,,10388
1003583,P0087442,M,0-17,14,B,4+,1,11,,,17611
1000609,P0092342,M,36-45,5,B,4+,1,17,3.0,,7267
1003273,P0017942,M,46-50,15,C,1,1,4,7.0,11.0,15410
1001148,P0077642,F,55+,11,A,1,1,5,6.0,5.0,404
1004283,P0051242,M,36-45,18,B,1,0,12,3.0,,8389
1003398,P0035142,M,55+,15,B,0,1,1,,6.0,11432
1002512,P0011142,M,51-55,13,B,4+,1,11,,16.0,14564
1001795,P0050042,M,26-35,5,C,4+,1,6,9.0,13.0,6509
1000660,P0091542,M,51-55,8,A,0,0,4,,,2784
1002812,P0082342,M,51-55,0,C,2,1,17,13.0,13.0,17184
1001370,P0038142,M,26-35,7,A,4+,1,12,10.0,12.0,10884
1001987,P0021142,M,0-17,6,C,2,1,10,12.0,17.0,15038
1000147,P0082242,M,51-55,13,B,2,1,14,10.0,16.0,17723
1003220,P0047742,M,46-50,7,B,2,0,7,7.0,14.0,8790
1002912,P0085042,M,55+,10,A,4+,0,11,5.0,15.0,13595
1001735,P0036742,M,26-35,8,C,3,0,3,11.0,5.0,7630
1001844,P0039742,F,26-35,18,A,2,0,8,12.0,,191
1000489,P0041642,M,55+,6,C,3,0,5,18.0,9.0,13593
1002977,P0066942,M,36-45,5,B,0,0,4,11.0,17.0,2341
1001960,P0060842,M,18-25,17,A,3,1,13,18.0,3.0,5662
1002386,P0064542,M,51-55,4,A,3,1,4,,10.0,1296
1002920,P0087442,M,46-50,18,B,1,1,6,16.0,,2940
1004737,P0046442,M,0-17,10,B,2,1,2,4.0,14.0,8550
1001803,P0064642,F,51-55,4,B,4+,0,5,11.0,,13866
1004062,P0037042,M,55+,8,B,1,1,15,,6.0,12978
1003370,P0057342,F,0-17,7,B,3,0,8,11.0,,2727
1000263,P0083842,F,36-45,10,B,0,0,2,18.0,14.0,1253
1000624,P0063642,F,51-55,5,C,4+,1,5,17.0,16.0,19561
1001017,P0033342,M,0-17,14,C,0,0,9,5.0,9.0,8006
1003644,P0015842,M,51-55,5,A,3,1,8,8.0,11.0,13536
1004977,P0035042,M,26-35,10,C,0,0,14,17.0,,474
1002050,P0094642,M,51-55,14,A,1,0,16,5.0,11.0,3193
1003724,P0018542,M,46-50,11,C,0,0,2,10.0,,13847
1004549,P0086242,M,51-55,8,C,1,1,3,4.0,10.0,13632
1003109,P0048942,F,0-17,9,B,2,1,4,6.0,,5460
1004091,P0027942,M,46-50,14,C,4+,1,15,7.0,,6157
1002057,P0081842,M,0-17,16,C,0,0,5,12.0,8.0,6058
1003171,P0095542,M,55+,15,C,1,0,15,,4.0,13139
1001683,P0024842,M,55+,7,B,3,0,18,9.0,,15944
1002256,P0068242,M,18-25,16,B,3,0,13,18.0,8.0,18310
1001155,P0022042,M,18-25,10,C,1,1,11,15.0,17.0,16288
1004500,P0086442,M,46-50,10,A,4+,1,10,17.0,10.0,1500
1003192,P0070442,M,55+,5,C,2,1,4,17.0,,13757
1001697,P0035542,M,18-25,1,B,2,0,5,8.0,,13353
1003992,P0086542,M,18-25,0,B,4+,1,1,6.0,4.0,12307
1004724,P0096342,M,26-35,19,A,0,0,13,,4.0,11666
1004683,P0089942,M,0-17,5,B,1,0,14,16.0,,299
1001649,P0040842,M,18-25,4,B,2,0,16,9.0,,6189
1001446,P0015842,M,46-50,8,C,4+,1,13,13.0,9.0,3473
1004200,P0016842,M,26-35,4,A,2,0,15,17.0,15.0,9398
1003924,P0054542,M,55+,17,B,2,0,9,3.0,,1147
1000254,P0048742,M,18-25,18,B,0,1,3,3.0,16.0,1397
1003184,P0018542,M,51-55,14,C,2,0,2,2.0,13.0,602
1002558,P0088542,F,55+,14,C,1,0,12,5.0,3.0,2009
1000099,P0032642,M,46-50,8,C,4+,1,18,4.0,17.0,1447
1002201,P0069242,M,0-17,13,C,0,0,4,11.0,,3584
1002962,P0072542,M,55+,4,A,0,0,15,7.0,16.0,5350
1004974,P0028342,M,51-55,16,C,4+,1,1,2.0,,3252
1004434,P0089142,M,55+,14,A,1,0,8,10.0,,938
1003778,P0042142,F,18-25,19,B,2,0,17,13.0,13.0,3680
1002870,P0041742,F,46-50,16,B,2,1,5,9.0,13.0,14049
1003235,P0066542,M,51-55,8,C,1,0,7,7.0,,14921
1003792,P0049842,F,46-50,12,C,3,0,3,9.0,11.0,4656
1000957,P0080842,M,36-45,12,C,4+,0,6,12.0,,7029
1004068,P0099842,M,55+,4,B,1,0,13,10.0,18.0,2273
1000161,P0039242,M,51-55,13,B,2,1,16,3.0,15.0,7353
1004494,P0039242,M,46-50,6,B,4+,1,17,11.0,,9488
1001301,P0058442,M,51-55,4,A,4+,1,6,16.0,,18159
1004912,P0099842,M,36-45,11,B,2,1,5,18.0,,3210
1003988,P0054642,M,0-17,2,C,1,1,18,10.0,,3093
1001528,P0090242,M,0-17,8,A,3,0,4,,11.0,4897
1001219,P0079142,M,55+,9,A,4+,0,12,18.0,13.0,18625
1004497,P0099142,M,26-35,0,A,4+,0,16,6.0,,17871
1004736,P0051142,M,51-55,13,B,4+,0,11,11.0,9.0,13378
1003105,P0060742,M,36-45,0,B,1,1,11,7.0,11.0,12455
1002736,P0083342,M,46-50,9,B,4+,0,6,13.0,,11014
1004556,P0088542,F,26-35,10,B,2,1,16,6.0,5.0,4595
1000955,P0098942,M,51-55,19,C,2,0,6,2.0,,17597
1004566,P0034342,F,26-35,1,A,0,1,9,,,1271
1003447,P0051942,M,51-55,1,A,4+,0,18,12.0,,4327
1001046,P0025342,M,55+,10,A,3,1,1,,4.0,12483
1001694,P0091542,F,55+,7,A,0,1,18,4.0,8.0,998
1003437,P0052342,M,0-17,2,A,4+,1,9,5.0,5.0,13016
1000563,P0037242,M,46-50,8,C,4+,0,14,6.0,10.0,18902
1002486,P0074642,M,36-45,15,C,1,0,12,11.0,,7833
1003355,P0092442,M,55+,15,A,1,1,10,,11.0,19995
1000226,P0061942,M,0-17,9,A,2,1,9,15.0,7.0,472
1004894,P0022742,M,26-35,5,B,0,0,12,3.0,,8933
1000960,P0047242,F,18-25,19,A,0,1,5,10.0,,1320
1004549,P0066742,M,55+,19,C,0,0,10,16.0,3.0,18033
1003068,P0073742,M,26-35,19,B,2,1,2,8.0,,2959
1000816,P0025842,F,18-25,10,C,3,0,6,11.0,10.0,15363
1004755,P0067042,M,51-55,7,B,3,1,5,16.0,12.0,7103
1004643,P0066942,M,0-17,19,B,3,1,1,,8.0,15711
1003121,P0075142,M,51-55,0,A,0,1,18,8.0,,11553
1000017,P0027542,M,36-45,5,C,4+,1,15,16.0,,14054
1001244,P0071942,M,46-50,7,C,0,0,2,16.0,18.0,4476
1002206,P0031042,M,55+,13,A,4+,0,15,12.0,3.0,14977
1002525,P0054642,M,18-25,2,B,1,0,11,18.0,,10313
1001070,P0068542,F,55+,1,B,2,0,13,12.0,14.0,4765
1003445,P0026642,M,46-50,0,C,3,1,15,14.0,15.0,2930
1002566,P0055942,M,51-55,10,A,0,0,10,18.0,,2370
1001061,P0045642,M,0-17,20,A,0,0,17,11.0,18.0,6926
1002328,P0040342,M,0-17,5,C,1,0,5,11.0,6.0,5692
1003421,P0033242,M,51-55,7,B,4+,1,1,13.0,5.0,6880
1000302,P0042642,M,51-55,6,B,3,0,12,18.0,9.0,16721
1004277,P0098342,M,0-17,5,A,2,0,7,4.0,4.0,14499
1000607,P0028142,F,36-45,17,B,4+,0,2,17.0,,14622
1003171,P0073342,M,18-25,11,B,4+,0,15,7.0,3.0,11769
1000700,P0043342,M,46-50,7,B,3,1,13,3.0,,5363
1001140,P0081442,M,26-35,20,C,2,0,7,17.0,5.0,347
1000191,P0012842,M,55+,18,A,3,1,14,4.0,,3838
1002301,P0081342,M,51-55,4,C,3,0,16,6.0,8.0,16311
1000981,P0019242,M,51-55,18,C,0,1,9,16.0,,13541
1002976,P0094042,F,55+,8,B,2,1,5,13.0,11.0,13530
1001185,P0096742,M,0-17,11,A,4+,0,10,,4.0,13831
1003328,P0078742,M,46-50,14,B,3,0,8,,,3450
1003395,P0042942,M,46-50,12,A,1,0,14,8.0,,8639
1000128,P0082242,F,36-45,12,B,2,1,11,8.0,10.0,12494
1002066,P0028342,M,18-25,20,A,1,1,1,6.0,,11280
1001817,P0019442,M,36-45,20,A,4+,0,10,12.0,14.0,19094
1000570,P0088442,M,36-45,4,B,2,1,2,9.0,,18863
1001896,P0074842,M,46-50,1,B,0,0,7,2.0,,18444
1002734,P0084842,M,18-25,18,C,2,0,17,9.0,,6719
1003864,P0045242,M,18-25,7,C,4+,0,5,3.0,11.0,17902
1004722,P0036442,M,18-25,13,A,0,0,10,17.0,5.0,7241
1004015,P0074642,M,55+,5,B,4+,0,5,,,6736
1002902,P0075542,M,0-17,6,B,2,1,5,7.0,,1006
1001687,P0011842,M,18-25,13,C,4+,1,9,15.0,3.0,2098
1003010,P0084242,M,46-50,5,B,2,0,11,3.0,6.0,11776
1000155,P0074542,F,55+,15,A,0,1,15,9.0,,4605
1002538,P0072542,M,0-17,3,A,2,1,5,13.0,18.0,19834
1001410,P0059842,M,26-35,6,A,4+,1,17,4.0,14.0,8238
1004058,P0023842,M,51-55,15,C,4+,0,14,9.0,,6119
1000785,P0073642,M,36-45,3,A,4+,0,2,,9.0,4567
1003176,P0081542,M,18-25,6,C,1,0,14,5.0,11.0,1632
1004342,P0067242,M,26-35,20,C,1,1,4,14.0,,12832
1002807,P0086142,M,18-25,1,A,1,1,3,18.0,17.0,4228
1000538,P0090942,M,36-45,7,C,3,0,15,17.0,8.0,7275
1001842,P0062442,M,46-50,9,C,2,1,16,17.0,,8761
1002456,P0035442,M,46-50,1,A,1,1,10,3.0,,13176
1000525,P0018442,F,36-45,5,A,4+,0,18,,6.0,1473
1002951,P0055742,M,26-35,3,C,4+,1,2,16.0,10.0,8412
1004132,P0063142,M,0-17,20,C,1,1,10,,,10527
1004781,P0066142,M,51-55,0,B,1,1,2,,6.0,10177
1004116,P0077542,M,51-55,5,A,4+,0,16,9.0,14.0,13989
1002369,P0019142,F,51-55,11,B,1,0,5,12.0,8.0,12165
1003848,P0069942,M,0-17,13,C,3,1,4,16.0,,9281
1004496,P0016842,M,18-25,14,B,3,1,17,18.0,11.0,14243
1002702,P0013642,M,36-45,17,C,3,1,13,,,9727
1000972,P0086442,F,36-45,16,B,0,1,12,,14.0,16104
1001167,P0086342,M,0-17,8,C,3,1,17,8.0,16.0,2566
1004930,P0023942,M,26-35,14,C,4+,1,9,15.0,,8428
1002775,P0096642,M,51-55,17,C,0,1,1,4.0,,14161
1001983,P0099242,M,55+,20,A,4+,1,1,18.0,,12470
1000854,P0077942,M,36-45,17,C,4+,0,2,5.0,3.0,10655
1004147,P0066542,F,46-50,4,A,1,0,14,,,10602
1003737,P0099742,M,46-50,15,C,2,1,5,,14.0,10877
1003770,P0027742,M,55+,8,B,3,1,1,3.0,,6321
1000575,P0090842,M,36-45,2,C,2,1,1,12.0,3.0,4675
1003262,P0091242,M,51-55,11,C,2,0,15,7.0,,3978
1001149,P0097042,M,51-55,13,B,1,1,1,11.0,6.0,8073
1001716,P0071742,M,51-55,0,C,2,1,16,7.0,17.0,14377
1004778,P0023642,M,26-35,8,C,3,1,10,3.0,,11904
1004934,P0028942,F,46-50,8,C,0,0,5,9.0,7.0,143
1003855,P0073942,M,26-35,19,B,4+,0,2,6.0,7.0,12482
1002492,P0044142,F,0-17,12,C,3,1,14,12.0,,9350
1002661,P0065842,M,18-25,7,A,1,1,11,15.0,7.0,2045
1003125,P0010442,M,51-55,10,A,0,1,3,10.0,15.0,2011
1003052,P0035642,M,0-17,13,A,1,0,11,6.0,9.0,6828
1000005,P0091142,F,18-25,15,A,3,0,16,5.0,3.0,1816
1004870,P0076142,M,55+,10,B,4+,1,17,2.0,4.0,15640
1000877,P0090542,F,46-50,18,C,2,1,4,16.0,6.0,4976
1000992,P0034242,F,18-25,9,A,2,0,15,7.0,16.0,7863
1004143,P0088642,M,18-25,7,C,1,0,11,,8.0,3872
1004365,P0081942,M,36-45,10,C,0,0,16,16.0,,15935
1004466,P0051442,M,18-25,7,B,4+,1,4,7.0,3.0,9814
1000636,P0072642,M,36-45,19,C,1,0,5,5.0,,1676
1001694,P0080642,M,18-25,9,A,4+,0,16,14.0,5.0,12308
1001683,P0044242,M,36-45,16,A,1,0,16,,,780
1004753,P0078142,F,46-50,10,B,0,1,1,13.0,4.0,2433
1000120,P0047842,M,46-50,11,A,3,1,3,2.0,6.0,16868
1000831,P0069342,F,18-25,9,A,2,1,2,17.0,9.0,2427
1003676,P0076542,M,55+,19,B,4+,0,10,,5.0,19481
1001370,P0075242,M,55+,16,B,4+,0,6,2.0,,16227
1000741,P0092542,M,26-35,2,A,0,1,8,18.0,6.0,8500
1000117,P0024542,M,55+,6,B,4+,0,6,16.0,5.0,194
1002839,P0042242,F,46-50,2,B,3,1,16,9.0,4.0,17349
1001151,P0022142,F,0-17,16,A,3,0,4,14.0,,215
1001932,P0035142,F,55+,7,A,0,1,16,5.0,,19638
1001013,P0095442,F,0-17,20,B,1,1,9,16.0,,7100
1001665,P0099842,M,36-45,18,C,1,1,9,13.0,,17892
1001082,P0041042,M,26-35,13,C,4+,0,8,3.0,,19422
1004730,P0070042,M,51-55,4,A,4+,1,5,,,5969
1000513,P0057442,F,36-45,18,A,0,1,17,4.0,12.0,13287
1002850,P0066942,M,18-25,12,C,3,0,16,10.0,10.0,17094
1000560,P0059142,F,55+,17,B,0,0,18,4.0,10.0,15125
1003673,P0067442,M,46-50,10,C,1,0,6,14.0,10.0,3415
1004584,P0044642,F,26-35,11,C,3,0,10,16.0,7.0,15562
1004993,P0091942,M,36-45,7,A,4+,1,16,,12.0,1860
1003344,P0058642,M,36-45,11,B,1,1,8,7.0,5.0,10611
1004071,P0057242,F,0-17,0,C,2,1,18,9.0,10.0,13648
1004800,P0048142,F,18-25,17,B,1,0,5,9.0,7.0,10695
1001471,P0037942,M,36-45,1,A,3,1,13,3.0,,10710
1000581,P0017142,F,0-17,11,C,3,0,15,18.0,14.0,11289
1002295,P0062042,F,26-35,18,A,0,1,6,3.0,,2791
1003148,P0046542,M,36-45,6,C,3,0,2,8.0,17.0,9391
1004250,P0019342,M,51-55,6,B,2,0,15,5.0,17.0,19729
1001680,P0047242,M,51-55,0,A,2,0,11,15.0,3.0,8114
1003507,P0043842,M,0-17,17,B,3,0,5,,3.0,13300
1002745,P0053642,M,51-55,7,C,4+,0,10,16.0,9.0,5684
1003357,P0043542,M,18-25,9,A,3,1,18,17.0,4.0,15719
1004046,P0076342,M,46-50,0,B,4+,0,12,3.0,9.0,9194
1001244,P0059142,M,51-55,14,B,3,0,17,16.0,18.0,5063
1003119,P0096742,M,26-35,14,C,1,1,17,3.0,,17161
1002142,P0013942,M,36-45,3,A,3,0,4,11.0,18.0,18567
